Location,Size (sqft),Bedrooms,Bathrooms,Year Built,Garage,Balcony,Garden,Flooring_Type,Kitchen,Dining,Lift,Floor,Price
Shah Makhdum,2328,4,1,2001,Yes,1,Yes,Cement,2,1,Yes,5,7401467
Motihar,2079,3,2,1992,No,1,No,Cement,2,1,Yes,7,8405833
Paba,2125,2,2,2021,No,1,Yes,Wood,2,1,Yes,10,6923914
Motihar,1360,1,1,2010,Yes,1,No,Cement,2,1,No,7,5259844
Motihar,1194,4,2,1995,Yes,1,No,Tile,1,1,No,4,4356251
Boalia,2192,2,1,1991,Yes,2,No,Cement,2,1,No,2,8097369
Motihar,1655,4,2,1998,Yes,2,No,Cement,1,1,No,8,5874542
Shah Makhdum,2454,1,2,2001,No,2,No,Marble,2,1,Yes,2,7216708
Motihar,2648,4,2,2013,No,1,No,Marble,2,1,No,9,10100096
Boalia,2058,2,1,2003,No,2,No,Marble,1,1,Yes,5,7414387
Shah Makhdum,2461,3,2,2001,No,2,No,Cement,2,1,Yes,9,8402835
Rajpara,1759,1,2,2016,No,2,No,Tile,1,1,Yes,9,7676574
Motihar,1819,2,2,1999,Yes,2,No,Tile,2,1,Yes,8,7428317
Boalia,732,5,3,1991,No,0,No,Marble,2,1,No,8,2812409
Rajpara,685,5,2,2020,No,1,No,Marble,1,1,Yes,4,2726683
Rajpara,2099,5,2,2017,No,1,No,Cement,2,1,Yes,4,8087929
Paba,2430,3,1,2005,No,0,No,Tile,1,1,No,2,7231251
Shah Makhdum,1803,4,1,1990,Yes,2,Yes,Tile,2,1,Yes,4,5935915
Motihar,774,4,3,2011,Yes,2,No,Marble,1,1,Yes,4,2945468
Boalia,2575,4,1,1990,Yes,2,No,Tile,1,1,No,6,9254250
Paba,1177,3,1,2020,No,1,No,Marble,2,1,Yes,3,3804103
Shah Makhdum,2398,5,1,2011,No,1,No,Marble,2,1,Yes,2,7160714
Paba,2696,4,3,2001,No,1,No,Wood,1,1,Yes,8,7473739
Shah Makhdum,744,3,3,2012,Yes,1,No,Wood,2,1,Yes,2,2380094
Shah Makhdum,1361,3,2,2017,No,1,No,Cement,2,1,No,8,4774839
Motihar,1977,2,2,2001,No,0,No,Marble,2,1,Yes,7,6850054
Shah Makhdum,2425,4,1,2016,Yes,1,Yes,Cement,1,1,Yes,3,8515136
Paba,1528,5,2,2012,Yes,2,No,Wood,1,1,Yes,6,5012793
Shah Makhdum,1393,1,2,1990,Yes,1,No,Tile,1,1,Yes,6,4272698
Motihar,2201,3,3,1991,No,0,No,Wood,1,1,No,10,9017855
Motihar,2260,2,3,2020,Yes,2,Yes,Wood,1,1,Yes,5,7742526
Paba,918,1,2,1991,No,0,Yes,Wood,1,1,Yes,8,2728696
Rajpara,1710,3,2,2014,No,2,Yes,Tile,1,1,Yes,5,6706104
Rajpara,2176,2,2,2008,Yes,1,Yes,Wood,1,1,Yes,7,9404947
Shah Makhdum,1297,4,1,2017,No,0,No,Marble,1,1,No,6,4127403
Boalia,1446,2,3,1995,No,2,No,Marble,2,1,Yes,7,4977937
Shah Makhdum,2401,3,2,2008,Yes,1,No,Wood,1,1,Yes,9,7897706
Paba,1382,4,2,2006,No,2,No,Cement,2,1,Yes,3,4043012
Paba,2689,5,1,1995,Yes,0,No,Cement,2,1,No,10,8125985
Paba,1716,2,3,2004,Yes,0,No,Tile,2,1,Yes,7,5617051
Paba,2350,1,1,2011,Yes,0,No,Tile,1,1,No,10,6630690
Paba,2249,4,1,1994,No,0,No,Marble,1,1,Yes,3,6691556
Motihar,891,4,2,2012,No,1,No,Marble,1,1,No,2,3057632
Rajpara,1568,5,1,1994,Yes,2,No,Wood,1,1,Yes,7,6701302
Paba,2087,2,1,1999,Yes,1,Yes,Cement,2,1,Yes,4,5750124
Boalia,2442,1,2,1993,No,0,No,Marble,1,1,Yes,1,7854286
Boalia,696,5,3,2001,Yes,2,No,Cement,1,1,Yes,6,2622519
Boalia,1718,2,2,1999,Yes,0,No,Tile,1,1,No,6,5903919
Boalia,673,1,3,2019,No,1,No,Tile,1,1,No,6,2443734
Motihar,1959,1,1,2013,No,1,No,Wood,1,1,Yes,2,7976975
Boalia,1691,3,1,1994,Yes,1,Yes,Wood,2,1,Yes,1,5769919
Paba,1357,1,2,2002,No,2,No,Marble,1,1,Yes,3,3876851
Shah Makhdum,2541,2,2,1998,No,2,Yes,Cement,2,1,No,2,7593756
Boalia,807,5,2,2007,Yes,0,No,Marble,1,1,Yes,6,2885011
Motihar,1844,5,1,2020,No,2,No,Marble,2,1,Yes,6,6660024
Motihar,1885,3,1,2013,Yes,2,Yes,Cement,1,1,Yes,5,7355380
Boalia,1009,2,3,1993,No,1,No,Marble,1,1,Yes,10,3402347
Shah Makhdum,2978,1,2,2015,No,0,Yes,Wood,2,1,Yes,10,9239474
Boalia,2991,3,1,1999,No,1,Yes,Cement,2,1,Yes,5,9943220
Motihar,1370,4,3,1998,Yes,0,No,Cement,2,1,Yes,9,5121109
Rajpara,2443,2,2,1990,No,0,Yes,Marble,1,1,No,5,9111666
Paba,673,3,2,2005,Yes,2,No,Cement,2,1,Yes,10,1946197
Motihar,2260,5,3,2002,Yes,1,Yes,Wood,1,1,Yes,6,9065286
Boalia,853,3,3,2003,Yes,2,Yes,Wood,1,1,Yes,4,2815696
Paba,1419,4,3,2012,No,2,No,Tile,2,1,No,10,4637672
Boalia,1585,2,1,2007,No,2,No,Tile,2,1,Yes,1,5539646
Boalia,931,3,2,2017,Yes,0,Yes,Tile,1,1,Yes,4,3002329
Rajpara,2021,1,2,2009,No,1,No,Tile,1,1,Yes,2,8800341
Paba,1435,2,3,1990,Yes,1,No,Marble,2,1,Yes,10,4267699
Paba,2291,3,1,2001,No,2,No,Tile,2,1,Yes,3,6951304
Rajpara,1054,3,3,2016,Yes,0,Yes,Tile,2,1,No,7,3950556
Motihar,2529,2,1,2002,No,1,No,Tile,1,1,No,7,9289813
Boalia,1738,5,2,1993,Yes,1,No,Tile,1,1,Yes,1,6330746
Shah Makhdum,912,1,2,2014,No,2,Yes,Marble,1,1,Yes,8,2698918
Boalia,1617,2,1,1995,Yes,0,No,Tile,1,1,No,7,5739252
Boalia,827,1,2,2011,Yes,2,No,Cement,1,1,Yes,1,3006530
Motihar,1457,1,2,1992,Yes,1,No,Wood,1,1,No,8,4984973
Boalia,1868,2,3,2004,No,0,No,Cement,2,1,Yes,2,6979414
Rajpara,1617,3,1,2000,No,2,No,Marble,1,1,No,8,5894072
Rajpara,1549,5,2,2016,Yes,1,No,Marble,1,1,No,3,5882383
Paba,1026,1,2,2012,No,2,No,Marble,1,1,No,10,3363358
Shah Makhdum,2689,1,1,2006,No,2,No,Wood,2,1,Yes,7,7883787
Boalia,1064,3,2,2012,No,2,No,Tile,1,1,Yes,6,3966760
Boalia,2245,2,1,2010,No,0,No,Marble,1,1,No,5,8096365
Motihar,877,5,1,2022,Yes,1,No,Tile,2,1,Yes,10,3398171
Rajpara,618,1,3,1994,Yes,1,No,Marble,1,1,Yes,2,2512383
Shah Makhdum,665,1,1,2006,No,1,Yes,Wood,1,1,No,2,1986044
Paba,766,2,3,1990,No,1,No,Cement,1,1,No,1,2375590
Rajpara,2208,3,2,1996,No,0,No,Cement,1,1,No,9,9629762
Paba,1002,4,1,1992,Yes,2,No,Wood,1,1,Yes,8,2751713
Motihar,1008,3,3,2015,Yes,1,No,Tile,2,1,No,8,3702014
Motihar,2759,1,1,2005,No,0,No,Marble,2,1,No,1,10426016
Boalia,1196,1,2,2005,No,2,Yes,Cement,2,1,Yes,5,3961874
Shah Makhdum,1662,5,3,2003,No,0,No,Wood,1,1,Yes,6,5574631
Paba,2752,3,3,2015,No,0,Yes,Tile,1,1,Yes,2,8567454
Rajpara,923,4,3,2016,No,1,No,Cement,1,1,Yes,10,3409766
Motihar,2582,5,2,2006,Yes,1,No,Wood,2,1,No,5,9947907
Boalia,2037,4,3,1993,Yes,2,Yes,Marble,1,1,Yes,6,6942525
Boalia,1028,5,2,2006,No,2,No,Wood,1,1,No,9,3402543
Paba,1684,3,2,2022,No,1,No,Tile,2,1,No,10,5403915
Motihar,2235,1,1,2019,Yes,0,No,Cement,1,1,Yes,1,7736569
Shah Makhdum,1977,4,2,2010,Yes,1,No,Marble,2,1,No,10,6285139
Motihar,992,3,3,2006,No,2,Yes,Tile,2,1,Yes,3,3750986
Paba,2851,4,3,2000,Yes,0,Yes,Wood,2,1,No,9,8672951
Paba,2905,3,2,2019,Yes,0,No,Cement,1,1,Yes,1,8187906
Motihar,2140,5,2,2007,No,0,No,Cement,1,1,No,1,8735721
Paba,1045,3,1,2009,No,1,No,Tile,1,1,Yes,1,3426744
Motihar,1803,5,1,2017,No,1,Yes,Marble,1,1,Yes,7,6918481
Rajpara,1623,1,3,1998,Yes,2,No,Tile,1,1,No,5,6175353
Motihar,941,5,2,2020,No,0,No,Cement,1,1,Yes,6,3845291
Motihar,732,2,3,2005,Yes,0,No,Cement,1,1,Yes,8,3053180
Paba,2459,1,2,2020,Yes,1,Yes,Cement,2,1,Yes,2,7733868
Paba,2900,3,3,2018,No,2,No,Marble,1,1,No,2,8410645
Boalia,864,3,3,2002,No,2,Yes,Cement,2,1,Yes,3,2864345
Boalia,692,2,3,2012,No,0,Yes,Cement,1,1,Yes,3,2255666
Rajpara,2285,3,2,2003,No,1,No,Tile,1,1,Yes,3,8655468
Boalia,2034,1,1,1991,No,0,No,Cement,1,1,Yes,4,6730800
Motihar,2785,1,1,2001,Yes,1,No,Wood,2,1,Yes,3,11572338
Paba,1831,5,2,2017,Yes,2,No,Tile,2,1,Yes,2,5650361
Boalia,1601,4,1,2021,Yes,0,No,Cement,2,1,Yes,9,5230279
Boalia,2260,3,3,2013,Yes,0,No,Tile,2,1,Yes,6,7891081
Rajpara,2196,2,2,2018,No,0,No,Tile,1,1,Yes,3,8229968
Rajpara,2954,1,2,2007,Yes,2,No,Wood,2,1,No,9,12066538
Motihar,865,1,1,1992,No,0,Yes,Tile,1,1,Yes,4,3182740
Paba,1245,1,1,2002,No,2,Yes,Tile,1,1,Yes,4,3507607
Rajpara,2965,4,3,2002,No,1,No,Marble,2,1,Yes,8,11249900
Boalia,1736,4,2,2018,No,2,No,Cement,2,1,Yes,7,6288779
Paba,2001,3,1,1991,No,1,Yes,Marble,2,1,No,7,5892587
Paba,1053,2,2,2017,No,2,No,Cement,2,1,Yes,10,3167313
Boalia,2838,4,3,1993,Yes,2,No,Tile,2,1,Yes,7,10571371
Rajpara,2514,5,3,1994,No,0,No,Cement,2,1,Yes,10,10368583
Boalia,2063,4,3,1994,Yes,2,Yes,Tile,2,1,Yes,5,7166221
Paba,1810,1,2,1997,Yes,0,No,Cement,2,1,Yes,7,5923105
Shah Makhdum,1430,2,2,2014,No,1,No,Tile,1,1,Yes,4,4314715
Shah Makhdum,1990,3,2,2016,Yes,1,No,Cement,2,1,Yes,8,6099260
Motihar,1712,4,2,1996,No,0,Yes,Cement,2,1,No,9,7040921
Boalia,2834,1,2,2021,No,1,Yes,Cement,1,1,Yes,3,10619728
Boalia,2569,5,3,2010,No,2,No,Tile,2,1,Yes,7,8326232
Motihar,2779,5,3,2007,Yes,0,No,Cement,1,1,No,10,11468265
Motihar,1471,3,3,1991,Yes,0,No,Tile,1,1,No,9,5042188
Motihar,1234,3,1,1994,No,0,No,Marble,2,1,Yes,1,4991579
Paba,1999,4,3,2017,No,1,No,Cement,1,1,No,2,5731695
Boalia,1290,3,2,2020,No,1,Yes,Wood,1,1,No,7,4233857
Paba,2465,1,3,2013,No,2,No,Wood,1,1,Yes,2,7319141
Motihar,1657,1,1,2022,No,2,Yes,Tile,1,1,Yes,7,6796654
Boalia,2555,1,1,2001,Yes,0,No,Wood,2,1,Yes,1,9453828
Paba,1181,4,1,1998,Yes,2,No,Tile,1,1,No,3,3873964
Paba,2818,4,1,2004,No,1,No,Tile,2,1,Yes,5,8523320
Motihar,1989,3,1,2012,Yes,2,Yes,Wood,1,1,Yes,6,7574162
Boalia,1383,4,2,2011,Yes,1,Yes,Wood,1,1,No,9,4369066
Motihar,780,1,3,1999,No,2,No,Marble,1,1,Yes,9,2774664
Boalia,618,2,2,2017,No,1,No,Tile,1,1,Yes,3,2161970
Shah Makhdum,1849,1,2,2018,No,1,No,Wood,2,1,Yes,8,6215677
Rajpara,2216,2,1,1994,No,2,No,Marble,2,1,Yes,4,9435909
Rajpara,2822,3,3,1993,Yes,2,No,Marble,1,1,No,7,10798702
Rajpara,1845,5,3,2004,No,1,No,Tile,1,1,Yes,6,7693586
Motihar,2238,4,3,2019,No,0,Yes,Cement,2,1,No,8,9063189
Shah Makhdum,653,4,1,2015,Yes,2,No,Wood,1,1,Yes,6,2037278
Boalia,2026,1,2,2012,No,1,No,Wood,1,1,Yes,4,7368337
Paba,2996,1,3,2018,No,2,No,Wood,1,1,No,2,8875256
Boalia,1042,2,2,2011,No,2,No,Wood,2,1,Yes,7,4001234
Paba,1179,4,3,2007,No,2,Yes,Wood,2,1,Yes,4,3188016
Boalia,881,3,3,2022,No,2,Yes,Wood,2,1,Yes,9,3030676
Shah Makhdum,1422,1,3,1996,Yes,2,Yes,Marble,1,1,No,9,4335363
Paba,2269,4,3,1999,Yes,0,No,Tile,1,1,Yes,7,7283131
Motihar,1240,5,1,2013,No,0,No,Marble,2,1,Yes,5,4511387
Boalia,1631,2,1,2014,No,0,No,Wood,2,1,Yes,3,5758558
Boalia,2616,1,2,2016,No,1,Yes,Tile,2,1,Yes,3,9595981
Paba,1162,1,1,1995,No,0,Yes,Wood,2,1,No,9,3484068
Motihar,940,3,3,1997,No,0,Yes,Tile,1,1,Yes,9,3507991
Motihar,1071,1,2,2010,No,1,No,Marble,2,1,Yes,4,3697427
Shah Makhdum,2310,4,2,2008,No,0,Yes,Tile,1,1,Yes,1,6686702
Motihar,2896,4,2,2012,No,2,Yes,Marble,2,1,Yes,10,12011347
Motihar,834,4,3,2002,No,0,No,Wood,1,1,No,5,3259993
Motihar,1706,5,3,2017,No,0,No,Tile,2,1,Yes,8,6904511
Rajpara,1716,5,2,1995,No,0,No,Cement,2,1,No,10,6837145
Shah Makhdum,2508,1,1,2001,Yes,2,Yes,Cement,2,1,Yes,4,7642908
Boalia,2017,5,3,1992,Yes,2,No,Marble,2,1,Yes,10,6769407
Paba,1423,5,3,2009,Yes,2,No,Marble,1,1,No,10,3879233
Boalia,1891,3,1,1997,No,2,Yes,Marble,2,1,Yes,4,7003542
Shah Makhdum,1231,5,2,2015,Yes,1,Yes,Marble,1,1,No,9,4003464
Paba,1128,2,1,2017,No,2,No,Wood,1,1,No,9,3371006
Shah Makhdum,2580,2,3,1991,No,2,No,Cement,1,1,Yes,7,8837712
Motihar,2769,2,2,1996,Yes,2,Yes,Marble,1,1,Yes,10,10406129
Paba,2657,1,2,2014,No,2,No,Tile,2,1,No,8,8685090
Motihar,1939,4,1,2021,Yes,1,No,Tile,1,1,Yes,4,6650885
Boalia,1896,3,3,2001,Yes,0,Yes,Wood,1,1,Yes,8,7279182
Boalia,1929,1,3,2000,No,0,No,Marble,1,1,Yes,6,7178037
Paba,1833,4,2,1999,Yes,2,No,Tile,2,1,Yes,3,5339462
Paba,2581,3,3,1993,Yes,2,No,Marble,2,1,No,7,7890680
Shah Makhdum,2353,3,2,1991,No,2,No,Tile,2,1,Yes,3,8078665
Shah Makhdum,2548,3,2,2017,No,0,Yes,Wood,2,1,Yes,7,8123592
Motihar,2727,2,2,2003,Yes,0,Yes,Tile,1,1,Yes,5,9432141
Paba,1501,2,3,2018,No,2,No,Marble,1,1,Yes,4,4866568
Boalia,1490,2,1,1991,Yes,0,No,Marble,2,1,Yes,3,5232747
Shah Makhdum,2170,3,2,2022,Yes,1,No,Wood,1,1,No,8,7006714
Shah Makhdum,2424,3,1,2009,No,2,No,Cement,1,1,Yes,4,7002401
Boalia,2665,2,1,2019,No,2,No,Marble,1,1,No,8,8581423
Shah Makhdum,1788,3,1,2015,No,1,No,Cement,2,1,No,10,6039031
Motihar,2148,2,1,2009,No,1,No,Marble,2,1,Yes,3,8056206
Paba,801,2,1,1990,No,0,No,Wood,1,1,Yes,10,2642366
Boalia,1340,2,2,1990,No,1,No,Tile,2,1,Yes,9,4873545
Paba,1969,4,3,2014,Yes,2,Yes,Cement,2,1,Yes,6,6438158
Shah Makhdum,1989,3,1,2022,No,0,No,Tile,2,1,No,5,6083924
Shah Makhdum,2600,1,3,2012,Yes,1,No,Wood,2,1,No,5,7781119
Boalia,2071,2,3,2000,No,0,Yes,Wood,2,1,Yes,3,7069591
Motihar,2136,1,2,2004,Yes,0,No,Wood,1,1,Yes,2,7734934
Rajpara,918,4,1,2003,Yes,0,No,Marble,2,1,No,6,3755255
Boalia,2864,3,3,1990,No,0,No,Marble,1,1,No,1,10514057
Rajpara,1657,2,3,2022,No,1,Yes,Marble,1,1,Yes,7,6498220
Rajpara,2494,2,1,1995,No,2,No,Marble,2,1,Yes,5,9157660
Motihar,2913,2,2,2012,No,2,Yes,Cement,1,1,Yes,4,10020755
Rajpara,1323,1,2,2015,Yes,1,No,Wood,1,1,No,9,4993560
Rajpara,2300,4,1,1992,Yes,2,Yes,Cement,1,1,Yes,10,9627776
Motihar,1012,3,3,1995,Yes,0,No,Marble,2,1,Yes,1,3631440
Rajpara,1875,4,2,2014,No,0,No,Tile,2,1,Yes,4,8116461
Rajpara,1000,2,2,2006,No,0,No,Cement,1,1,Yes,3,4121314
Rajpara,2439,4,3,2017,No,1,No,Tile,2,1,Yes,6,10462509
Boalia,1323,1,3,2021,Yes,0,No,Marble,2,1,No,5,4524753
Boalia,2929,5,3,2018,No,0,Yes,Cement,2,1,Yes,7,11242922
Boalia,1735,5,3,2012,No,1,Yes,Cement,2,1,Yes,1,6290500
Motihar,1350,3,1,2005,No,0,Yes,Cement,1,1,Yes,5,4983240
Shah Makhdum,867,3,3,2021,No,0,Yes,Tile,1,1,Yes,2,2614893
Rajpara,2945,4,2,2015,No,2,No,Marble,2,1,Yes,2,12643547
Rajpara,1940,3,3,2022,Yes,1,No,Wood,2,1,Yes,2,7477688
Motihar,1169,1,3,2008,Yes,0,Yes,Wood,1,1,Yes,9,4037394
Rajpara,2573,2,1,2006,No,0,No,Marble,1,1,Yes,10,9836391
Boalia,1145,2,1,2003,Yes,0,No,Cement,2,1,Yes,3,3750580
Shah Makhdum,964,4,3,2007,Yes,0,Yes,Wood,1,1,Yes,4,2973581
Paba,1146,2,1,2010,Yes,2,No,Cement,2,1,No,5,3515881
Rajpara,870,4,1,2017,Yes,2,No,Marble,2,1,No,4,3480300
Boalia,1338,3,1,2009,No,2,No,Tile,1,1,Yes,4,4880482
Paba,1857,3,1,1995,No,2,No,Cement,1,1,Yes,5,5385855
Shah Makhdum,658,1,3,2015,No,1,No,Tile,2,1,No,10,1945493
Paba,1874,2,1,1995,Yes,0,Yes,Tile,2,1,Yes,9,5240005
Boalia,2470,1,1,2015,No,2,No,Marble,1,1,No,9,9159001
Paba,685,5,2,2006,No,0,No,Marble,2,1,No,6,1889774
Motihar,1362,1,3,1991,Yes,1,No,Tile,1,1,Yes,3,5484196
Paba,989,4,1,2010,No,0,No,Tile,2,1,Yes,6,2796474
